pathway_rank,pathway
1,Oxidative phosphorylation
2,Citrate cycle (TCA cycle)
3,Propanoate metabolism
4,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
5,Pyruvate metabolism
6,Lysine degradation
7,Pyrimidine metabolism
8,N-Glycan biosynthesis
9,Fatty acid elongation
10,Thiamine metabolism
11,Cysteine and methionine metabolism
12,Purine metabolism
13,Riboflavin metabolism
14,Lipoic acid metabolism
15,Biosynthesis of unsaturated fatty acids
16,Drug metabolism - other enzymes
17,Fatty acid degradation
18,Glyoxylate and dicarboxylate metabolism
19,Terpenoid backbone biosynthesis
20,"Valine, leucine and isoleucine degradation"
21,Steroid biosynthesis
22,Amino sugar and nucleotide sugar metabolism
23,Phosphonate and phosphinate metabolism
24,Porphyrin and chlorophyll metabolism
25,Glutathione metabolism
26,Pentose phosphate pathway
27,Glycolysis / Gluconeogenesis
28,Synthesis and degradation of ketone bodies
29,Inositol phosphate metabolism
30,Butanoate metabolism
