sample_code,group,n_cells,mean,median,q1,q3,min,max
LZ002,Control,0,,,,,,
LZ003,Control,35,0.8839737491428571,0.89214355,0.44382379,1.19041365,0.3749389,1.7473462
LZ004,Control,0,,,,,,
LZ007,Control,164,1.2903723687195123,1.150966,0.670832615,1.8215209250000002,0.0,3.2438824
LZ010,Control,0,,,,,,
LZ012,Control,0,,,,,,
LZ013,Control,343,1.5563583875510205,1.5684638,1.1697221999999998,2.02734675,0.0,3.6254277
LZ014,Control,21,1.4617764666666666,1.5086973,0.94538,1.7768713,0.6348832,2.7707314
LZ015,Control,59,1.7065872983050847,1.6865084,1.2762019,2.19378465,0.5158491,2.7947752
LZ017,Control,0,,,,,,
LZ018,Control,0,,,,,,
LZ019,Control,0,,,,,,
LZ002,AZFa,937,0.9978097835218783,0.95640093,0.5314427,1.3375764,0.0,3.2996712
LZ003,AZFa,0,,,,,,
LZ004,AZFa,0,,,,,,
LZ007,AZFa,0,,,,,,
LZ010,AZFa,0,,,,,,
LZ012,AZFa,0,,,,,,
LZ013,AZFa,0,,,,,,
LZ014,AZFa,0,,,,,,
LZ015,AZFa,0,,,,,,
LZ017,AZFa,0,,,,,,
LZ018,AZFa,0,,,,,,
LZ019,AZFa,0,,,,,,
LZ002,iNOA,0,,,,,,
LZ003,iNOA,0,,,,,,
LZ004,iNOA,0,,,,,,
LZ007,iNOA,0,,,,,,
LZ010,iNOA,0,,,,,,
LZ012,iNOA,0,,,,,,
LZ013,iNOA,0,,,,,,
LZ014,iNOA,0,,,,,,
LZ015,iNOA,0,,,,,,
LZ017,iNOA,1869,1.5116151881112894,1.395927,0.8705364,2.10714,0.0,3.856832
LZ018,iNOA,1359,1.453534575481972,1.3725294,0.8600464750000001,2.0199753,0.0,3.6295128
LZ019,iNOA,1463,1.5373999203691047,1.4499942,0.920773235,2.1050695,0.0,3.9115736
LZ002,KS,0,,,,,,
LZ003,KS,0,,,,,,
LZ004,KS,99,1.1301920875757576,1.0538443,0.8205643,1.35493205,0.0,2.430097
LZ007,KS,0,,,,,,
LZ010,KS,219,1.2646360498630138,1.1828437,0.7816719000000001,1.70825365,0.0,3.8913727
LZ012,KS,205,1.303318096390244,1.2171135,0.8051112,1.8369372,0.0,3.4210227
LZ013,KS,0,,,,,,
LZ014,KS,0,,,,,,
LZ015,KS,0,,,,,,
LZ017,KS,0,,,,,,
LZ018,KS,0,,,,,,
LZ019,KS,0,,,,,,
