sample_code,group,n_cells,mean,median,q1,q3,min,max
LZ002,Control,0,,,,,,
LZ003,Control,115,2.0421984415652172,2.2499888,1.1308985,2.80720255,0.39094296,3.7728798
LZ004,Control,0,,,,,,
LZ007,Control,468,2.1981073144444445,2.32555315,1.411665575,2.98539375,0.0,4.358608
LZ010,Control,0,,,,,,
LZ012,Control,0,,,,,,
LZ013,Control,606,2.582319460990099,2.6108141,2.23140735,3.0266367,0.0,4.4794464
LZ014,Control,92,2.0592774902173914,2.0581445499999997,1.408538975,2.564496125,0.0,3.7723954
LZ015,Control,96,2.2308337728125003,2.3182406,1.753530525,2.7684582,0.0,3.7712212
LZ017,Control,0,,,,,,
LZ018,Control,0,,,,,,
LZ019,Control,0,,,,,,
LZ002,AZFa,5425,2.689448709694009,2.703048,2.079207,3.2403333,0.0,5.1454144
LZ003,AZFa,0,,,,,,
LZ004,AZFa,0,,,,,,
LZ007,AZFa,0,,,,,,
LZ010,AZFa,0,,,,,,
LZ012,AZFa,0,,,,,,
LZ013,AZFa,0,,,,,,
LZ014,AZFa,0,,,,,,
LZ015,AZFa,0,,,,,,
LZ017,AZFa,0,,,,,,
LZ018,AZFa,0,,,,,,
LZ019,AZFa,0,,,,,,
LZ002,iNOA,0,,,,,,
LZ003,iNOA,0,,,,,,
LZ004,iNOA,0,,,,,,
LZ007,iNOA,0,,,,,,
LZ010,iNOA,0,,,,,,
LZ012,iNOA,0,,,,,,
LZ013,iNOA,0,,,,,,
LZ014,iNOA,0,,,,,,
LZ015,iNOA,0,,,,,,
LZ017,iNOA,7592,2.843038129956533,2.90983415,2.38146485,3.383757325,0.0,5.3732805
LZ018,iNOA,6728,2.9172780033234242,2.9723739499999997,2.46414905,3.4452426750000003,0.0,5.153735
LZ019,iNOA,6871,2.844128594625236,2.921265,2.36936855,3.41308855,0.0,5.595612
LZ002,KS,0,,,,,,
LZ003,KS,0,,,,,,
LZ004,KS,2404,2.8923412585191346,2.98666265,2.4352232999999996,3.4379276,0.0,4.8274646
LZ007,KS,0,,,,,,
LZ010,KS,2730,2.5617938943956045,2.5927499999999997,1.984055825,3.1955241,0.0,4.81124
LZ012,KS,2568,2.676809133987539,2.77959825,2.0731096,3.33259515,0.0,5.3076158
LZ013,KS,0,,,,,,
LZ014,KS,0,,,,,,
LZ015,KS,0,,,,,,
LZ017,KS,0,,,,,,
LZ018,KS,0,,,,,,
LZ019,KS,0,,,,,,
