direction,group,group_display,module,representative_GO_term,GO_ID,Count,GeneRatio,gene_ratio,p.adjust,minus_log10_p_adjust,geneID
Down,AZFc,AZFc_Del,Steroid biosynthesis,steroid biosynthetic process,GO:0006694,17,17/406,0.04187192118226601,0.000190993,3.718982549595637,SOD1/CYP51A1/ASAH1/EBP/HSD17B11/DKKL1/MSMO1/SCARB1/DHCR7/APOE/TM7SF2/DHCR24/FDX1/CYB5R3/CYP11A1/STAR/CYP17A1
Down,iNOA_B,iNOA_B,Steroid biosynthesis,steroid biosynthetic process,GO:0006694,32,32/887,0.036076662908680945,3.61e-08,7.442492798094342,SQLE/FDPS/HSD17B7/ASAH1/DKKL1/FDXR/AKR1C3/HSD17B3/INSIG1/SCP2/ACAA2/IDI1/HMGCR/HSD3B2/SCARB1/EBP/HSD17B11/ERG28/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/AKR1B1/HSD17B6/CYB5R3/CYP11A1/STAR/CYP17A1
Down,iNOA_S,iNOA_S,Steroid biosynthesis,steroid biosynthetic process,GO:0006694,18,18/411,0.043795620437956206,5.83e-05,4.2343314452409855,CYP51A1/SC5D/AKR1B1/DKKL1/OSBPL3/SOD1/HSD3B2/EBP/SCARB1/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/HSD17B6/STAR/CYP17A1
Down,KS,KS,Steroid biosynthesis,steroid biosynthetic process,GO:0006694,29,29/864,0.03356481481481482,1.48e-06,5.8297382846050425,ERLIN1/SOD1/HSD17B3/HSD17B11/ASAH1/FDXR/FDFT1/AKR1B1/ACAA2/DKKL1/OSBPL3/CYP51A1/HSD3B2/SCARB1/IDI1/EBP/HMGCR/SC5D/SQLE/DHCR7/CYB5R3/HMGCS1/FDX1/TM7SF2/HSD17B6/MSMO1/CYP11A1/DHCR24/CYP17A1
Down,AZFc,AZFc_Del,Steroid / cholesterol metabolism,secondary alcohol metabolic process,GO:1902652,18,18/406,0.04433497536945813,1.28e-05,4.892790030352131,IDH3G/SOD1/CYP51A1/IDH3B/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR
Down,iNOA_B,iNOA_B,Steroid / cholesterol metabolism,secondary alcohol metabolic process,GO:1902652,30,30/887,0.033821871476888386,1.51e-08,7.82102305270683,SQLE/FDPS/ABCA5/SOAT1/HSD17B7/FDXR/IDH3B/SNX17/INSIG1/ACAA2/IDI1/HMGCR/IDH3G/LDLR/SCARB1/MT3/EBP/IDH1/NPC2/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/CYB5R3/CYP11A1/STAR
Down,iNOA_S,iNOA_S,Steroid / cholesterol metabolism,secondary alcohol metabolic process,GO:1902652,16,16/411,0.038929440389294405,0.000115724,3.936576563376073,LIMA1/CYP51A1/SC5D/ABCA5/SOD1/EBP/IDH1/SCARB1/MT3/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/STAR
Down,KS,KS,Steroid / cholesterol metabolism,secondary alcohol metabolic process,GO:1902652,26,26/864,0.03009259259259259,2.09e-06,5.679853713888946,ERLIN1/SOD1/FDXR/FDFT1/ACAA2/SOAT1/CYP51A1/ABCA5/SCARB1/LIMA1/IDI1/LDLR/EBP/HMGCR/SC5D/SQLE/MT3/DHCR7/CYB5R3/HMGCS1/IDH1/FDX1/TM7SF2/MSMO1/CYP11A1/DHCR24
Down,AZFc,AZFc_Del,Mitochondrial compartment,mitochondrial matrix,GO:0005759,31,31/423,0.07328605200945626,3.3e-05,4.481486060122113,HAGH/ATP5PB/IDH3G/TUFM/SOD1/MRRF/PRDX3/MMAB/IDH3B/NDUFS2/ACADM/TSFM/PPA2/SLC25A5/PCCB/HSPE1/TXN2/NDUFS8/TRUB2/HADHB/ACAT1/HADHA/C1QBP/SOD2/ALKBH7/GPX1/PDK4/ALAS1/HSPD1/FDX1/CYP11A1
Down,iNOA_B,iNOA_B,Mitochondrial compartment,mitochondrial matrix,GO:0005759,67,67/921,0.0727470141150923,2.69e-13,12.570247719997592,HIBCH/FH/ISCA1/GFM1/CS/GRPEL1/MRRF/DAP3/HADH/BCKDK/BCAT2/GSTZ1/PRDX5/POLDIP2/HMGCL/HIBADH/HAGH/ATP5F1A/PYCR2/FDXR/DLD/ALDH2/IDH3B/SOD2/ALKBH7/ALDH6A1/NAXD/ACAA2/HSPE1/ERAL1/ISCA2/C1QBP/ETFA/GSTK1/PDSS2/TXN2/NDUFA10/TRUB2/ACAT1/HSPA9/VDAC2/MMAB/PCCB/IDH3G/GPX1/OAT/ATP5F1C/PPA2/NDUFA9/DECR1/ALAS1/TSFM/NDUFS2/TUFM/ECHS1/PDHB/ATP5PB/HSPD1/MDH2/ATP5F1B/ACSM3/PDK4/HADHB/FDX1/SLC25A5/CYP11A1/PRDX3
Down,iNOA_S,iNOA_S,Mitochondrial compartment,mitochondrial matrix,GO:0005759,31,31/432,0.07175925925925926,2.47e-05,4.607303046740334,HIBADH/GRPEL1/NDUFS2/ACADM/PRDX5/PDSS2/ATP5F1E/NDUFAB1/PPA2/SOD2/UQCC2/HAGH/GPX1/PDHB/TSFM/SOD1/DLD/SUCLG1/PCCB/ACAT1/ISCU/HADHB/ALKBH7/SLC25A5/PRDX3/ALAS1/HSPD1/HSPE1/ACSM3/FDX1/CYP11A1
Down,KS,KS,Mitochondrial compartment,mitochondrial matrix,GO:0005759,53,53/895,0.05921787709497207,1.83e-06,5.73754891026957,NDUFS1/CLPX/ISCA1/CCNB1/TFAM/PPM1K/SDHAF3/GFM1/SUCLG2/SOD1/RARS2/TXN2/HIBCH/PDSS2/VDAC1/ISCU/HAGH/FDXR/PPA2/SUCLA2/NDUFAB1/ACAA2/TRNT1/TSFM/PARK7/ACADM/DAP3/GRPEL1/DNAJC15/ETFA/REXO2/PDHB/SOD2/ATP5F1C/SUCLG1/ACAT1/UQCC2/HADHA/PDK4/ATP5PB/DLD/ATP5F1E/HADHB/PCCB/SLC25A5/DECR1/HSPE1/PRDX3/HSPD1/ALAS1/FDX1/ACSM3/CYP11A1
Down,AZFc,AZFc_Del,OXPHOS / electron transport,,,0,,,,,
