group_raw,group,regulation,Description,ID,ONTOLOGY,Count,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,minus_log10_p_adjust,geneID
AZFc,AZFc_Del,down,cholesterol metabolic process,GO:0008203,BP,16,16/406,137/18723,4.82e-08,9.52e-05,8.37e-05,4.021363051615526,SOD1/CYP51A1/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR
AZFc,AZFc_Del,down,sterol metabolic process,GO:0016125,BP,16,16/406,152/18723,2.07e-07,0.000190993,0.000167851,3.718982549595637,SOD1/CYP51A1/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR
AZFc,AZFc_Del,down,steroid biosynthetic process,GO:0006694,BP,17,17/406,173/18723,2.35e-07,0.000190993,0.000167851,3.718982549595637,SOD1/CYP51A1/ASAH1/EBP/HSD17B11/DKKL1/MSMO1/SCARB1/DHCR7/APOE/TM7SF2/DHCR24/FDX1/CYB5R3/CYP11A1/STAR/CYP17A1
AZFc,AZFc_Del,down,steroid metabolic process,GO:0008202,BP,22,22/406,319/18723,1.99e-06,0.000875144,0.000769107,3.057920480394897,SOD1/CYP51A1/ASAH1/EBP/HSD17B11/DKKL1/LAMTOR1/ABCA5/MSMO1/ACAT1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR/CYP17A1
AZFc,AZFc_Del,down,cholesterol biosynthetic process,GO:0006695,BP,9,9/406,57/18723,3.48e-06,0.000982086,0.000863091,3.007850479942093,SOD1/CYP51A1/EBP/MSMO1/DHCR7/APOE/TM7SF2/DHCR24/CYB5R3
iNOA_B,iNOA_B,down,fatty acid metabolic process,GO:0006631,BP,53,53/887,390/18723,4.32131378823183e-12,1.14487005364394e-08,1.02018000860659e-08,7.941243804318009,THNSL2/HACL1/DECR2/ECHDC2/CRYL1/PTGES2/ACSL1/HADH/SCD/ASAH1/PLP1/DLD/AKR1C3/INSIG1/SCP2/ALKBH7/CBR1/ACAA2/ETFA/ABHD6/FABP3/ELOVL1/FADS1/ECI2/ACAT1/SLC25A17/ADIPOR1/HACD2/ANXA1/SCD5/PCCB/GPX1/PHYH/TECR/DEGS1/ALDH3A2/DECR1/GSTM4/C3/APPL2/LYPLA1/ELOVL5/ECHS1/CD74/HACD3/MSMO1/ACSM3/PDK4/HADHB/AKR1B1/ECH1/GSTA1/EPHX1
iNOA_B,iNOA_B,down,steroid biosynthetic process,GO:0006694,BP,32,32/887,173/18723,2.97297274542541e-11,3.61290512887823e-08,3.2194165387962e-08,7.4421434424025374,SQLE/FDPS/HSD17B7/ASAH1/DKKL1/FDXR/AKR1C3/HSD17B3/INSIG1/SCP2/ACAA2/IDI1/HMGCR/HSD3B2/SCARB1/EBP/HSD17B11/ERG28/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/AKR1B1/HSD17B6/CYB5R3/CYP11A1/STAR/CYP17A1
iNOA_B,iNOA_B,down,sterol metabolic process,GO:0016125,BP,29,29/887,152/18723,1.15604876155085e-10,1.12391060597974e-07,1.001503295533e-07,6.949268230469489,SQLE/FDPS/ABCA5/LIPA/SOAT1/HSD17B7/FDXR/SNX17/INSIG1/ACAA2/IDI1/HMGCR/LDLR/SCARB1/MT3/EBP/ERG28/NPC2/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/CYB5R3/CYP11A1/STAR
iNOA_B,iNOA_B,down,cholesterol metabolic process,GO:0008203,BP,27,27/887,137/18723,2.34944327677791e-10,1.90344062806957e-07,1.69613317262124e-07,6.7204606651085586,SQLE/FDPS/ABCA5/SOAT1/HSD17B7/FDXR/SNX17/INSIG1/ACAA2/IDI1/HMGCR/LDLR/SCARB1/MT3/EBP/NPC2/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/CYB5R3/CYP11A1/STAR
iNOA_B,iNOA_B,down,steroid metabolic process,GO:0008202,BP,43,43/887,319/18723,6.07792388627771e-10,4.22068400159942e-07,3.76100102135831e-07,6.374617161823064,SQLE/FDPS/ABCA5/LIPA/SOAT1/HSD17B7/ASAH1/DKKL1/FDXR/AKR1C3/HSD17B3/SNX17/INSIG1/SCP2/ACAA2/IDI1/LAMTOR1/ACAT1/LGMN/HMGCR/COMT/HSD3B2/LDLR/SCARB1/MT3/EBP/HSD17B11/ERG28/NPC2/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/AKR1B1/HSD17B6/CYB5R3/CYP11A1/STAR/CYP17A1
iNOA_S,iNOA_S,down,steroid biosynthetic process,GO:0006694,BP,18,18/411,173/18723,5.18272183517305e-08,5.82648004832648e-05,5.28117657557124e-05,4.234593736366352,CYP51A1/SC5D/AKR1B1/DKKL1/OSBPL3/SOD1/HSD3B2/EBP/SCARB1/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/HSD17B6/STAR/CYP17A1
iNOA_S,iNOA_S,down,cholesterol metabolic process,GO:0008203,BP,15,15/411,137/18723,3.48023718348789e-07,0.000218384883263865,0.00019794612190996,3.6607774270584326,LIMA1/CYP51A1/SC5D/ABCA5/SOD1/EBP/SCARB1/MT3/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/STAR
iNOA_S,iNOA_S,down,sterol metabolic process,GO:0016125,BP,15,15/411,152/18723,1.32995220716557e-06,0.000362315888070421,0.000328406544803049,3.4409126211130756,LIMA1/CYP51A1/SC5D/ABCA5/SOD1/EBP/SCARB1/MT3/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/STAR
iNOA_S,iNOA_S,down,steroid metabolic process,GO:0008202,BP,22,22/411,319/18723,2.4313050335253e-06,0.00036615453804891,0.000331885933418485,3.436335578931508,LIMA1/CYP51A1/SC5D/AKR1B1/ABCA5/DKKL1/OSBPL3/SOD1/HSD3B2/EBP/ACAT1/SCARB1/MT3/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/HSD17B6/STAR/CYP17A1
iNOA_S,iNOA_S,down,steroid hormone biosynthetic process,GO:0120178,BP,8,8/411,43/18723,3.72624894606227e-06,0.000414381294619435,0.000375599121312982,3.3825998570922424,AKR1B1/HSD3B2/SCARB1/DHCR7/CYP11A1/HSD17B6/STAR/CYP17A1
