group,st_cluster,stage_label_candidate,n_cells,ratio_in_group
Ctrl,ST1,Stage_a,39,0.15175097
Ctrl,ST2,Stage_b,8,0.03112840
Ctrl,ST3,Stage_c,210,0.81712062
AZFc_Del,ST1,Stage_a,194,0.07947562
AZFc_Del,ST2,Stage_b,654,0.26792298
AZFc_Del,ST3,Stage_c,1593,0.65260139
iNOA_B,ST1,Stage_a,24,0.13259669
iNOA_B,ST2,Stage_b,21,0.11602210
iNOA_B,ST3,Stage_c,136,0.75138122
iNOA_S,ST1,Stage_a,442,0.16072727
iNOA_S,ST2,Stage_b,1050,0.38181818
iNOA_S,ST3,Stage_c,1258,0.45745455
KS,ST1,Stage_a,1,0.00645161
KS,ST2,Stage_b,18,0.11612903
KS,ST3,Stage_c,136,0.87741935
