regulon_label,tf_gene,in_scaled_table,in_auc_table,selected_for_fig4f
AEBP2(12g),AEBP2,1,1,0
SP2(56g),SP2,1,1,0
THRB(36g),THRB,1,1,1
ZNF580(223g),ZNF580,1,1,0
PURA(77g),PURA,1,1,0
HSF1(47g),HSF1,1,1,1
MAFB(8g),MAFB,1,1,1
ETS2(97g),ETS2,1,1,1
FOSB(38g),FOSB,1,1,1
RORA(20g),RORA,1,1,0
FOS(37g),FOS,1,1,1
ZFP91(17g),ZFP91,1,1,0
NR2F2(40g),NR2F2,1,1,1
KLF6(643g),KLF6,1,1,0
KLF5(301g),KLF5,1,1,0
E2F6(31g),E2F6,1,1,1
JUN(23g),JUN,1,1,1
JUND(13g),JUND,1,1,1
TBX3(57g),TBX3,1,1,0
ELF1(46g),ELF1,1,1,1
ZNF394(39g),ZNF394,1,1,0
KLF3(23g),KLF3,1,1,0
NFKB1(26g),NFKB1,1,1,1
ZFY(149g),ZFY,1,1,0
